A->A,A	C->C,C	F->F,F	H->H,H	P->P,P	T->T,T	W->W,W	Z->Z,Z
232	3	35	0	0	0	0	22	0
233	5	35	0	0	0	1	22	0
234	6	35	0	0	0	0	29	0
235	4	35	0	0	0	0	24	0
236	6	35	0	0	0	0	25	0
237	7	35	0	0	0	0	22	0
238	5	35	0	0	0	0	26	0
239	8	35	0	0	0	0	26	0
240	5	33	0	0	0	0	24	0
241	4	35	0	0	0	0	24	0
242	6	34	0	0	0	0	21	0
243	7	33	0	0	0	0	19	1
244	3	35	0	0	0	0	27	0
245	5	35	0	0	0	0	28	0
246	7	34	0	0	0	0	22	0
247	11	36	0	0	0	0	23	0
248	5	34	0	0	0	0	24	0
249	6	35	0	1	0	0	24	0
250	5	35	0	0	0	0	21	0
251	5	35	0	0	0	0	27	0
252	6	35	0	0	0	0	27	0
253	3	35	0	0	0	0	29	0
254	7	32	0	0	0	0	18	0
255	6	35	0	0	0	0	20	1
256	3	35	0	0	0	0	30	0
257	5	35	0	0	0	0	19	0
258	3	35	0	0	0	0	25	0
259	5	35	0	0	0	0	24	0
260	10	35	0	0	0	0	20	0
261	8	35	0	0	0	0	23	0
262	5	35	0	0	0	0	23	0
263	3	34	0	0	0	0	27	0
264	8	34	0	0	0	0	26	0
265	5	35	0	0	0	0	23	0
266	5	35	0	0	0	0	24	0
267	3	34	0	0	0	0	22	0
268	5	34	0	0	0	0	26	0
269	4	35	0	0	2	0	22	0
270	4	34	0	0	0	0	22	0
271	5	34	0	0	0	0	27	0
272	9	35	0	0	0	0	22	0
273	4	35	0	0	0	0	27	0
274	7	34	0	0	0	0	21	0
275	10	35	0	0	0	0	22	0
276	2	35	0	0	0	0	26	0
277	7	35	0	0	0	0	19	0
278	5	35	0	0	0	0	22	0
279	7	35	0	0	0	0	22	0
280	7	35	0	0	0	0	19	0
281	5	35	0	0	0	0	26	0
282	5	35	0	0	0	0	24	0
283	6	34	0	0	0	0	24	0
284	14	35	0	0	0	0	12	0
285	2	35	0	0	0	0	26	0
286	6	35	0	0	0	0	21	0
287	7	35	0	0	0	1	22	0
288	2	34	0	0	0	0	27	0
289	9	35	0	0	0	0	18	0
290	7	34	0	0	0	0	17	0
291	2	35	0	0	0	0	26	0
292	5	35	0	0	0	0	23	0
293	11	34	0	0	0	0	20	0
294	5	35	0	0	0	0	25	0
295	6	35	0	0	0	0	24	0
296	3	35	0	0	0	0	29	0
297	4	34	0	0	0	0	24	0
298	5	35	0	0	0	0	25	0
299	9	35	0	0	0	0	16	0
300	4	35	0	0	0	0	28	0
301	7	35	0	0	0	0	22	0
302	5	35	0	0	0	0	27	0
303	5	35	0	0	0	0	27	0
304	9	35	0	0	0	0	19	0
305	5	35	0	0	0	0	29	0
306	2	34	0	0	0	0	23	0
307	8	35	0	0	0	0	20	0
308	5	34	0	0	0	0	21	0
309	9	32	0	0	0	0	21	0
310	11	34	0	0	0	0	21	0
311	6	35	0	0	0	0	22	0
312	6	35	0	0	0	0	24	0
313	5	35	0	0	0	0	23	0
314	2	34	0	0	0	0	24	0
315	10	32	0	0	0	0	18	0
316	3	33	0	0	0	0	28	0
317	9	35	0	0	0	0	23	0
318	7	34	0	0	0	0	22	0
319	5	34	0	0	0	0	19	0
320	5	35	0	0	0	0	25	0
321	4	34	0	0	0	0	25	0
322	6	34	0	0	0	0	24	0
323	9	34	0	0	0	0	19	0
324	2	34	0	0	0	0	29	0
325	5	34	0	0	0	0	24	0
326	3	35	0	0	0	0	26	0
327	2	35	0	0	0	0	30	0
328	8	33	0	0	0	0	21	0
329	6	34	0	0	0	0	22	0
330	5	35	0	0	0	0	22	0
331	9	34	0	0	0	0	21	0
332	9	34	0	0	0	0	19	0
333	6	34	0	0	0	0	22	0
334	4	35	0	0	0	0	20	0
335	8	35	0	0	0	0	26	0
336	4	35	0	0	0	0	23	0
337	5	35	0	0	0	0	19	0
338	6	33	0	0	0	0	23	0
339	4	35	0	0	0	0	22	0
340	3	35	0	0	0	0	26	0
341	8	35	0	0	0	0	20	1
342	6	35	0	0	0	0	22	0
343	5	35	0	0	0	0	26	0
344	5	35	0	0	0	0	20	0
345	8	35	0	0	0	0	21	0
346	5	33	0	0	0	0	20	0
347	5	35	0	0	0	0	25	0
348	5	35	0	0	0	0	25	0
349	7	34	0	0	0	0	22	0
350	4	35	0	0	0	0	28	0
351	4	34	0	0	0	0	26	0
352	5	36	0	0	0	0	25	0
353	6	35	0	0	0	0	22	0
354	5	34	0	0	0	0	25	0
355	4	35	0	0	0	0	30	0
356	7	34	0	0	0	0	22	0
357	9	34	0	0	0	0	17	0
358	6	35	0	0	0	0	25	0
359	2	35	0	0	0	0	27	0
360	5	34	0	0	0	0	25	0
361	6	35	0	0	0	0	18	0
362	3	34	0	0	0	0	24	1
363	7	35	0	0	0	0	23	0
364	7	34	0	0	0	0	24	0
365	5	35	0	0	0	0	28	0
366	6	34	0	0	0	0	22	0
367	5	34	0	0	0	0	23	1
368	5	36	0	0	0	0	20	0
369	8	34	0	0	0	0	22	0
370	4	35	0	0	0	0	29	0
371	4	33	0	0	0	0	28	0
372	6	34	0	0	0	0	25	0
373	8	34	0	0	0	0	20	0
374	5	35	0	0	0	0	26	0
375	5	34	0	0	0	0	23	0
376	5	35	0	0	0	0	23	0
377	4	34	0	0	0	0	25	0
378	4	35	0	0	0	0	25	0
379	2	32	0	0	0	0	25	0
380	3	33	0	0	0	0	23	0
381	3	35	0	0	0	0	28	0
382	7	34	0	0	0	0	20	0
383	5	35	1	0	0	0	20	0
384	4	34	0	0	0	0	27	0
385	4	35	0	0	0	0	27	0
386	5	35	0	0	0	0	27	0
387	5	34	0	0	0	0	24	0
388	5	34	0	0	0	0	28	0
389	5	33	0	0	0	0	28	0
390	5	34	0	0	0	0	23	0
391	6	33	0	0	0	0	27	0
392	2	35	0	0	0	0	28	0
393	7	34	0	0	0	0	27	0
394	4	35	0	0	0	0	29	0
395	6	35	0	0	0	0	24	0
396	8	35	0	0	0	0	24	0
397	4	34	0	0	0	0	23	0
398	7	34	0	0	0	0	22	0
399	6	35	0	0	0	0	23	0
400	6	33	0	0	0	0	26	0
401	3	35	0	0	0	0	26	0
402	9	34	0	0	0	0	17	0
403	3	34	0	0	0	0	22	0
404	3	34	0	0	0	0	27	0
405	3	34	0	0	0	0	22	0
406	9	34	0	0	0	0	22	0
407	5	34	0	0	0	0	20	0
408	6	35	0	0	0	0	25	0
409	5	33	0	0	0	0	23	0
410	11	34	0	0	0	0	15	0
411	4	34	0	0	0	0	27	0
412	7	34	0	0	0	0	18	0
413	6	34	0	0	0	0	20	0
414	10	34	0	0	0	0	19	0
415	8	34	0	0	0	0	14	0
416	6	34	0	0	0	0	22	0
417	6	34	0	0	0	0	24	0
418	7	34	0	0	0	1	20	0
419	8	35	0	0	0	1	20	0
420	3	34	0	0	0	0	30	0
421	6	35	0	0	0	0	19	0
422	6	35	0	0	0	0	19	0
423	3	35	0	0	0	0	26	0
424	6	35	0	0	0	0	28	0
425	5	35	0	0	0	0	24	0
426	9	35	0	0	0	0	20	0
427	3	34	0	0	0	0	27	0
428	7	35	0	0	0	0	25	0
429	7	35	0	0	0	0	23	0
430	5	35	0	0	0	0	22	0
431	5	35	0	0	0	0	24	0
432	7	35	0	0	0	0	21	0
433	4	33	0	0	0	0	28	0
434	5	35	0	0	0	0	22	0
435	6	35	0	0	0	0	20	0
436	6	34	0	0	0	0	23	0
437	6	35	0	0	0	0	24	0
438	3	34	0	0	0	0	28	0
439	3	33	0	0	0	0	27	0
440	6	34	0	0	0	0	19	0
441	10	35	0	0	0	0	19	0
442	4	34	0	0	0	0	25	0
443	5	33	0	0	0	0	25	0
444	5	34	0	0	0	0	25	0
445	3	35	0	0	0	0	23	0
446	7	35	0	0	0	0	20	0
447	3	34	0	0	0	0	29	0
448	6	35	0	0	0	0	25	0
449	5	35	0	0	0	0	25	0
450	5	34	0	0	0	0	31	0
451	10	34	0	0	0	0	16	0
452	7	35	0	0	0	0	26	0
453	7	35	0	0	0	0	21	0
454	9	34	0	0	0	0	24	0
455	4	33	0	0	0	0	30	0
456	3	34	0	0	0	0	26	0
457	6	33	0	0	0	0	25	0
458	6	35	0	0	0	0	25	0
459	3	35	0	0	0	0	27	0
460	8	35	0	0	0	0	22	0
461	8	34	0	0	0	0	16	0
462	5	35	0	0	0	0	24	0
463	6	34	0	0	0	0	23	0
464	6	34	0	0	0	0	23	0
465	4	35	0	0	0	0	25	0
466	7	35	0	0	0	0	18	0
467	7	35	0	0	0	0	23	0
468	6	34	0	0	0	0	25	0
469	3	35	0	0	0	0	23	0
470	4	35	0	0	0	0	20	0
471	3	35	0	0	0	0	24	0
472	4	34	0	0	0	0	25	0
473	6	34	0	0	0	0	28	0
474	6	35	0	0	0	0	24	0
475	7	34	0	0	0	0	20	0
476	6	34	0	0	0	0	29	0
477	3	32	0	0	0	0	20	0
478	9	35	0	0	0	0	19	0
479	4	35	0	0	0	0	27	0
480	4	35	0	0	0	0	25	0
481	9	34	0	0	0	0	18	0
482	8	35	0	0	0	0	24	0
483	4	35	0	0	0	0	26	0
484	6	34	0	0	0	0	24	0
485	4	34	0	0	0	0	24	0
486	5	35	0	0	0	0	21	0
487	7	34	0	0	0	0	20	0
488	7	33	0	0	0	0	25	0
489	8	35	0	0	0	0	23	0
490	2	34	0	0	0	0	28	0
491	3	35	0	0	0	0	22	0
492	4	34	0	1	0	0	24	0
493	11	35	0	0	0	0	19	0
494	5	35	0	0	0	0	24	0
495	3	34	0	0	0	0	27	0
496	5	34	0	0	0	1	23	0
497	8	35	0	0	0	0	20	0
498	6	35	0	0	0	0	22	0
499	6	35	0	0	0	0	24	0
500	2	35	0	0	0	0	28	0
501	2	34	0	0	0	0	25	0
502	6	34	0	0	0	0	22	0
503	3	35	0	0	0	0	26	0
504	10	35	0	0	0	0	15	0
505	5	34	0	0	0	0	20	0
506	6	35	0	0	0	0	26	0
507	5	35	0	0	0	0	26	0
508	3	35	0	0	0	0	26	0
509	6	35	0	0	0	0	30	0
510	7	34	0	0	0	0	25	0
511	3	35	0	0	0	0	23	0
512	7	34	0	0	0	0	22	0
513	4	34	0	0	0	0	22	0
514	11	35	0	0	0	0	17	0
515	6	35	0	0	0	0	24	0
516	9	34	0	0	0	0	22	0
517	3	35	0	0	0	0	28	0
518	3	35	0	0	0	0	24	0
519	7	35	0	0	0	0	18	0
520	6	34	0	0	0	0	23	0
521	8	35	0	0	0	0	20	0
522	7	35	0	0	0	0	20	0
523	4	35	0	0	0	0	23	0
524	3	35	0	0	0	0	27	0
525	3	34	0	0	0	0	24	0
526	10	35	0	0	0	0	19	0
527	8	34	0	0	0	0	20	0
528	4	34	0	0	0	0	23	0
529	4	35	0	0	0	0	29	0
530	6	35	0	0	0	0	26	0
531	11	35	0	0	0	0	19	0
532	10	35	0	0	0	0	20	0
533	4	35	0	0	0	0	23	0
534	3	34	0	0	0	0	27	0
535	11	35	0	0	0	0	17	0
536	3	34	0	0	0	0	27	0
537	8	35	0	0	0	0	23	0
538	9	34	0	0	0	0	18	0
539	5	35	0	0	0	0	23	0
540	7	35	0	0	0	0	26	0
541	7	35	0	0	0	0	25	0
542	7	35	0	0	0	0	24	0
543	5	35	0	0	0	0	26	0
544	4	35	0	0	0	0	25	0
545	6	34	0	0	0	0	24	0
546	6	35	0	0	0	0	23	0
547	10	35	0	0	0	0	23	0
548	5	35	0	0	0	0	21	0
549	3	34	0	0	0	0	27	0
550	2	33	0	0	0	0	29	0
551	4	34	0	0	0	0	27	0
552	6	35	0	0	0	0	21	0
553	6	35	0	0	0	0	22	0
554	9	35	0	0	0	0	25	0
555	5	35	0	0	0	0	20	0
556	7	35	0	0	0	0	23	0
557	8	34	0	0	0	0	26	0
558	6	35	0	0	0	0	25	0
559	6	35	0	0	0	0	23	0
560	3	33	0	0	0	0	25	0
561	6	34	0	0	0	0	29	0
562	2	35	0	0	0	0	26	0
563	8	35	0	0	0	0	25	0
564	9	35	0	0	0	0	20	0
565	4	35	0	0	0	0	25	0
566	9	35	0	0	0	0	21	0
567	5	35	0	0	0	0	23	0
568	4	34	0	0	0	0	26	0
569	9	35	0	0	0	0	21	0
570	6	35	0	0	0	0	27	0
571	5	35	0	0	0	0	24	0
572	3	33	0	0	0	0	21	0
573	4	34	0	0	0	0	26	0
574	2	34	0	0	0	1	27	0
575	10	35	0	0	0	0	24	0
576	7	34	0	0	0	0	23	0
577	11	34	0	0	0	0	20	0
578	8	35	0	0	0	0	16	0
579	6	34	0	0	0	0	20	0
580	6	35	0	0	0	0	23	0
581	6	35	0	0	0	0	23	0
582	8	35	0	0	0	0	20	0
583	5	35	0	0	0	0	22	0
584	4	34	0	0	0	0	24	0
585	7	35	0	0	0	0	19	0
586	4	34	0	0	0	0	28	0
587	5	34	0	0	0	0	26	0
588	11	34	0	0	0	0	20	0
589	6	34	0	0	0	0	23	0
590	6	34	0	0	0	0	22	0
591	5	34	0	0	0	0	24	0
592	3	35	0	0	0	0	24	0
593	4	35	0	0	0	0	25	0
594	8	34	0	0	0	0	23	0
595	5	36	0	0	0	0	27	0
596	4	35	0	0	0	0	26	0
597	3	35	0	0	0	0	29	0
598	6	34	0	0	0	0	22	0
599	5	34	0	0	0	0	26	0
600	4	33	0	0	0	0	29	0
601	4	35	0	0	0	0	22	0
602	5	34	0	0	0	0	23	0
603	3	35	0	0	0	0	30	0
604	7	34	0	0	0	0	23	0
605	7	35	0	0	0	0	26	0
606	6	34	0	0	0	0	21	0
607	2	34	0	0	0	0	24	0
608	4	34	0	0	0	0	23	0
609	4	34	0	0	0	0	24	0
610	9	34	0	0	0	0	20	0
611	4	35	0	0	0	0	22	0
612	6	35	0	0	0	0	21	0
613	5	35	0	0	0	0	25	0
614	8	35	0	0	0	0	21	0
615	3	35	0	0	0	0	23	0
616	6	35	0	0	0	0	23	0
617	7	35	0	0	0	0	19	0
618	5	35	0	0	0	0	25	0
619	6	34	0	0	0	0	25	0
620	4	35	0	0	0	0	26	0
621	12	34	0	0	0	0	16	0
622	4	35	0	0	0	0	25	0
623	7	35	0	0	0	0	24	0
624	2	35	0	0	0	0	24	0
625	3	34	0	0	0	0	27	0
626	6	35	0	0	0	0	24	0
627	5	34	0	0	0	0	22	0
628	9	34	0	0	0	0	18	0
629	10	35	0	0	0	0	21	0
630	11	35	0	0	0	0	20	1
631	3	35	0	0	0	0	28	0
632	3	35	0	0	0	0	24	0
633	4	34	0	0	0	0	20	0
634	5	35	0	0	0	0	20	0
635	7	35	0	0	0	0	22	0
636	8	35	0	0	0	0	21	0
637	8	34	0	0	0	0	23	0
638	5	35	0	0	0	0	29	0
639	6	35	0	0	0	0	23	0
640	4	35	0	0	0	0	24	0
641	4	34	0	0	0	0	26	0
642	4	35	0	0	0	0	22	0
643	5	34	0	0	0	0	24	0
644	6	35	0	0	0	0	23	0
645	8	34	0	0	0	0	23	0
646	6	34	0	0	0	0	23	0
647	7	35	0	0	0	0	23	0
648	4	35	0	0	0	0	29	0
649	7	35	0	0	0	0	19	0
650	3	32	0	0	0	0	25	0
651	5	35	0	0	0	0	22	0
652	8	35	0	0	0	0	17	0
653	7	35	0	0	0	0	20	0
654	3	35	0	0	0	0	24	0
655	3	35	0	0	0	0	22	0
656	11	34	0	0	0	0	19	0
657	5	35	0	0	0	0	22	0
658	2	34	0	0	0	1	24	0
659	11	35	0	0	0	0	22	0
660	7	35	0	0	0	0	25	0
661	6	35	0	0	0	0	25	0
662	7	35	0	0	0	0	24	0
663	6	34	0	0	0	0	23	0
664	3	35	0	0	0	0	26	0
665	10	34	0	0	0	0	16	0
666	7	34	0	0	0	0	24	0
667	12	35	0	0	0	0	19	0
668	8	35	0	0	0	0	18	0
669	9	34	0	0	0	0	18	0
