Species,Specimen,Voucher,ETS,ITS,rbcL,rps16,trn,Total-markers
Schoenus auritus,auritus-306,TE2016_306,1,0,0,0,0,1
Schoenus auritus,auritus-307,TE2016_307,1,0,0,0,0,1
Schoenus auritus x cuspidatus,auritus-cuspidatus-198,TE2016_198,1,0,0,0,0,1
Schoenus badius,badius-B5269A,Barrett 5269A,0,1,0,0,0,1
Schoenus bifidus,bifidus-B5878,Barrett 5878,0,1,0,0,0,1
Schoenus bifidus,bifidus-H784,Hodgon 784,0,1,0,0,0,1
Schoenus bifidus,bifidus-V1249,Verboom 1249,0,0,0,1,1,2
Schoenus bolusii,bolusii-308,TE2016_308,1,0,0,0,0,1
Schoenus bolusii,bolusii-324,TE2016_324,0,0,1,0,0,1
Schoenus bolusii,bolusii-V520,Verboom 520,1,0,1,0,1,3
Schoenus bolusii,bolusii-V606,Verboom 606,1,0,1,0,1,3
Schoenus bolusii x cuspidatus,bolusii-cuspidatus-317,TE2016_317,1,0,1,1,1,4
Schoenus breviculmis,breviculmis-B5141,Barrett 5141,0,1,0,0,0,1
Schoenus breviculmis,breviculmis-B5191,Barrett 5191,0,1,0,0,0,1
Schoenus breviculmis,brevifolius-BR1861,Bruhl 1861,0,1,0,0,0,1
Schoenus breviculmis,brevifolius-G75,Gibbs 75,0,1,0,0,0,1
Schoenus brevifolius,brevifolius-KAT19875,Katsuyama 19875,0,1,0,0,0,1
Schoenus brevifolius,brevifolius-OGA0265,OGA0265,0,0,0,0,1,1
Schoenus brevisetis,brevisetis-B4337,Barrett & Moody RLB 4337,0,0,0,0,1,1
Schoenus brunnescens,brunnescens-221,TE2016_221,1,0,0,0,0,1
Schoenus brunnescens,brunnescens-322,TE2016_322,1,0,0,1,0,2
Schoenus apogon var. caespitans,caespitans-AK281020,AK281020,0,1,0,0,0,1
Schoenus apogon var. caespitans,caespitans-AK288575,AK288575,0,1,0,0,0,1
Schoenus apogon var. caespitans,caespitans-G131,Gibbs 131,0,1,0,0,0,1
Schoenus apogon var. caespitans,caespitans-G132,Gibbs 132,0,1,0,0,0,1
Schoenus caespititius,caespititius-B5608,Barrett 5608,0,1,0,0,0,1
Schoenus caespititius,caespititius-BR2104,Bruhl 2104 & Watson,0,0,0,0,1,1
Schoenus caespititius,caespititius-V1255,Verboom 1255,1,0,0,1,1,3
Schoenus calcatus,calcatus-B5414,Barrett 5414,0,1,0,0,0,1
Schoenus calceolus,calceolus-120,TE2016_120,1,0,1,0,0,2
Schoenus calceolus,calceolus-126,TE2016_126,0,0,1,0,0,1
Schoenus calostachyus,calostachyus-CANB583285,CANB583285,0,1,0,0,0,1
Schoenus calostachyus,calostachyus-G117,Gibbs 117,0,1,0,0,0,1
Schoenus calostachyus,calostachyus-MUS542,Musili 542,0,1,0,0,0,1
Schoenus carsei,carsei-AK284567,AK284567,0,1,0,0,0,1
Schoenus centralis,centralis-CANB583338,CANB583338,0,1,0,0,0,1
Schoenus clandestinus,cladestinus-B5765,Barrett 5765,0,1,0,0,0,1
Schoenus clandestinus,clandestinus-B3363,Barrett RLB 3363,0,0,0,0,1,1
Schoenus clandestinus,clandestinus-B5267,Barrett 5267,0,1,0,0,0,1
Schoenus clandestinus,clandestinus-B5283,Barrett 5283,0,1,0,0,0,1
Schoenus compactus,compactus-310,TE2016_310,1,0,1,1,0,3
Schoenus compactus,compactus-311,TE2016_311,1,0,1,1,0,3
Schoenus compactus,compactus-V614,Verboom 614,1,0,1,1,1,4
Schoenus compar,compar-232,TE2016_232,1,0,0,1,0,2
Schoenus compar,compar-352,TE2016_352,0,0,1,0,1,2
Schoenus compar,compar-362,TE2016_362,0,0,1,0,1,2
Schoenus compar,compar-V549,Verboom 549,1,0,1,0,1,3
Schoenus comparoides,comparoides-325,TE2016_325,0,0,1,0,0,1
